cid	message	timestamp	user_name	username	document_title	executive_order_id	upvotes	downvotes	controversy_score	total_votes
1	yay no tariffs	2025-02-05 21:14:41	Alice	a1ic3	Imposing Duties To Address the Flow of Illicit Drugs Across Our Northern Border	14193	1	0	1	1
2	justin trudeau for president	2025-02-05 23:02:04	Alice	a1ic3	Imposing Duties To Address the Situation at Our Southern Border	14194	0	1	1	1
4	Deregulation is key to prosperity.	2025-02-06 09:00:00	Dave	d4v3	Unleashing Prosperity Through Deregulation	14192	1	0	1	1
5	Reinstating service members is a win.	2025-02-06 10:20:15	Eve	eve	Reinstating Service Members Discharged Under the Military's COVID-19 Vaccination Mandate	14184	0	1	1	1
6	The Iron Dome for America sounds promising.	2025-02-06 11:45:00	Frank	frankie	The Iron Dome for America	14186	1	0	1	1
7	Protecting children is our priority.	2025-02-06 12:30:00	Grace	grace	Protecting Children From Chemical and Surgical Mutilation	14187	1	0	1	1
8	Expanding educational freedom is vital.	2025-02-06 13:15:00	Heidi	h3idi	Expanding Educational Freedom and Opportunity for Families	14191	0	1	1	1
9	Ending radical indoctrination in schools is necessary.	2025-02-06 14:05:00	Ivan	ivan9	Ending Radical Indoctrination in K-12 Schooling	14190	1	0	1	1
10	Military excellence should be a national focus.	2025-02-06 15:30:00	Judy	judy	Prioritizing Military Excellence and Readiness	14183	1	0	1	1
11	Restoring America's fighting force is commendable.	2025-02-06 16:00:00	Kevin	kev1n	Restoring America's Fighting Force	14185	0	1	1	1
